Tool,length,weight,OD
PEH-SAA Cable Head Kalrez Boots = NO,0.49,5,2.125
"SAH-SAA, Swivel Adaptor Head",0.55,8,2.125
"TTSA-SAA, Tractor Tension Sub",0.29,5,2.125
WiRED-SAA Inline Release Device With AH-357 ( Tapered Housing FCO),1.12,12,2.125
SPTEC-BA Telemetry Cartridge,1.0,11,2.125
SPEPC-BA Power Convertor,1.55,17,2.125
SPHYS-BA Hydraulic Module,0.62,11,2.125
SPDRS-BA Drive Section,1.06,15,2.125
SPDRS-BA Drive Section,1.06,15,2.125
SPCPS-BA Compensator,0.9,11,2.125
SPDRS-BA Drive Section,1.06,15,2.125
SPDRS-BA Drive Section,1.06,15,2.125
"AH-343, Termination Adaptor",0.45,5,2.125
WIRED-SAA Inline Release Device With AH-357,1.12,12,2.125
SPPAC-BA PSP Cartridge,0.77,9,2.125
PBMS-T PBMK housing (Platform Basic Measurement Sonde) *GR /CCL /Pres. /Temp.,1.65,14,1.688
AH-210 (22-pin knuckle),0.41,3,1.688
AH-210 (22-pin knuckle),0.41,3,1.688
PCMS-A Conveyance Monitoring Sonde Head Tension,0.95,7,1.688
SAH-NB (Swivel)-22 PIN,0.93,8,1.688
ILE-C (eccentralizer),0.93,10,1.688
BH-3,0.18,2,1.688
